song_name,artist,lyrics,emotion
Teka Teki,Raisa,"Dirimu buatku selalu penasaran
Terkadang menjauh, terkadang buatku tersipu
Malu manisnya ucapanmu
Membuatku tak menentu
Ku tak tahu harus bagaimana

Sungguh kau buatku bertanya-tanya
Dengan teka-teki teka-tekimu
Mungkinkah ku temukan jawaban
Teka-teki teka-tekimu

Sadarkah dirimu akan apa yang ku rasa
Haruskah diriku menyatakan yang sesungguhnya
Malu manisnya ucapanmu
Membuatku tak menentu
Ku tak tahu bagaimana

Sungguh kau buatku bertanya-tanya
Dengan teka-teki teka-tekimu
Mungkinkah ku temukan jawaban
Teka-teki teka-tekimu

Sungguh kau buatku bertanya-tanya
Dengan teka-teki teka-tekimu
Mungkinkah ku temukan jawaban
Teka-teki teka-tekimu
You might also likeTerkadang ku merasa hampir tak mampu
Menghadapi kamu dan semua tanda tanyamu

Sungguh kau buatku bertanya-tanya
Dengan teka-teki teka-teki teka-tekimu
Mungkinkah ku temukan jawaban
Teka-teki teka-tekimu

Sungguh kau buatku bertanya-tanya
Dengan teka-teki teka-tekimu
Mungkinkah ku temukan jawaban
Teka-teki teka-tekimu

Engkau buatku bertanya-tanya
Dengan semua teka-teki teka-tekimu
Mungkinkah ku temukan jawaban
Teka-teki teka-tekimu",0
Bahagia,GAC (Gamaliél Audrey Cantika)," 
Hei, hei, apa kabar kawan?
Siapkah kau untuk melangkahi masalahmu
Hadapi esok pagi?
Hei, hei, apa kabar kawan?
Siapkah kau untuk melangkah ke masa depan dan nantikan pelangi?

 
Percayalah, kawan, esok 'kan berbeda
Pastikan engkau mencoba
Buat mimpimu jadi nyata, oh, nyata
Kita semua pasti bisa asalkan kita melangkah
Sambut hari yang indah, yeah

 
Marilah kita mensyukuri semua berkat dalam hidup ini
Kita bahagia, kita bahagia
Bersama hangatnya mentari
Nikmati dan lukiskan memori
Kita bahagia, kita bahagia

 
Bahagia
Bahagia
Bahagia
You might also like 
Hei, hei, bagaimana kawan?
Apakah kau t'lah merangkai semua citamu
Bebaskan harapanmu?
Hei, hei, bagaimana kawan?
Apakah kau t'lah menapaki babak baru
Pancarkan semangatmu?

 
Percayalah, kawan, esok 'kan berbeda
Pastikan engkau mencoba
Buat mimpimu jadi nyata, oh, nyata
Kita semua pasti bisa asalkan kita melangkah
Sambut hari yang indah, yeah

 
Marilah kita mensyukuri
Semua berkat dalam hidup ini
Kita bahagia, kita bahagia
Bersama hangatnya mentari
Nikmati dan lukiskan memori
Kita bahagia, kita bahagia

 
Bahagia
Bahagia
Bahagia
 
Go clap your hands, if you're gonna make your turn
Gonna clap my hands, y'all know I'm gon' make it burn, Imma
Bahagia
Bahagia
Bet you gon' like this, baby, yeah, I'm sure
Better make it right, watch GAC and you'll learn, kita
Bahagia
Bahagia

 
Marilah kita mensyukuri
Nikmati dan lukiskan memori
Kita bahagia, kita bahagia

 
Bahagia
Bahagia
Bahagia
Jalani hidup ini
Bahagia
Bahagia
Bahagia
Jalani hidup ini",1
Panah Asmara,Afgan," 

 
Berdebar rasa di dada
Setiap kau tatap mataku
Apakah arti pandangan itu
Menunjukkan hasratmu?

 
Sungguh aku telah tergoda
Saat kau dekat denganku
Hanya kau yang membuatku begini
Melepas panah asmara

 
Sudah katakan cinta
Sudah kubilang sayang
Namun kau hanya
Diam tersenyum kepadaku
Kau buat aku bimbang
Kau buat aku gelisah
Ingin rasanya kau jadi milikku

 
Ku akan setia menunggu
Satu kata yang terucap
Dari isi hati sanubarimu  
Yang membuatku bahagia
You might also like 
Sungguh aku telah tergoda
Saat kau dekat denganku
Hanya kau yang membuatku begini
Melepas panah asmara

 
Sudah katakan cinta
Sudah kubilang sayang
Namun kau hanya
Diam tersenyum kepadaku
Kau buat aku bimbang
Kau buat aku gelisah
Ingin rasanya kau jadi milikku

 
 
 
 
 
 
Panah asmara
Panah asmara
Panah asmara
Panah asmara
Panah asmara
 
Sudah katakan cinta
Sudah kubilang sayang
Namun kau hanya
Diam tersenyum kepadaku
Kau buat aku bimbang
Kau buat aku gelisah
Ingin rasanya kau jadi milikku
Kau buat aku bimbang
Kau buat aku gelisah
Ingin rasanya kau jadi milikku
Ingin rasanya kau jadi milikku

 
Panah asmara
Panah asmara
Panah asmara
Panah asmara
Panah asmara",1
Sama-Sama Tahu,Hivi!," 
Sama sama
Sama sama tahu
Ada ada
Ada ada saja

 
Kata orang
Yang baik belum tentu terbaik
Berulang kali kucoba pergi
Namun aku berbalik

 
Mungkin berarti ini pertanda
Kau juara di hati

 
Kita sama-sama tahu
Bahwa kita sama-sama ragu
Tapi ada, ada saja yang membuatku yakin lagi padamu
Kita sama-sama mau
Kau dan aku mencari jalan
'tuk bersatu lagi
Memulai yang baru dengan masa lalu

 
Kadang ku sendiri kadang kumencari
Namun selalu padamu kukembali
Mungkin berarti ini pertanda
Kau juara di hati
You might also like 
Kita sama-sama tahu
Bahwa kita sama-sama ragu
Tapi ada, ada saja yang membuatku yakin lagi padamu
Kita sama-sama mau
Kau dan aku mencari jalan
'tuk bersatu lagi
Memulai yang baru dengan masa lalu

 
Kadang masa depan
Ada di belakang
Memanggil namamu
Kejarlah
Kadang masa depan
Ada di belakang
Memanggil namamu
Kejar

 
Kita sama-sama tahu
Bahwa kita sama-sama ragu
Tapi ada-ada saja yang membuatku yakin lagi padamu
Kita sama-sama mau
Kau dan aku mencari jalan
'tuk bersatu lagi
Memulai yang baru dengan masa lalu
 
Kita sama-sama tahu
Bahwa kita sama-sama ragu
Tapi ada-ada saja yang membuatku yakin lagi padamu
Kita sama-sama mau
Kau dan aku mencari jalan
'tuk bersatu lagi
Memulai yang baru dengan masa lalu

 
Dengan masa lalu
Dengan masa lalu",1
Tunggu Apa Lagi,Lalahuta," 
Jangan kau bohongi hatimu
Jelas kau ingin aku
Percuma punya wajah yang merdu
Bila dia tak mampu melukiskan senyummu

 
Izinkan kuisi harimu
Usir mendung kelabu
Percuma punya tampang yang syahdu
Bila dia tak mampu melukiskan senyummu

 
Tunggu apa lagi, sayang
Tinggalkanlah dirinya
Kan kubuat hari-harimu bahagia
Lalu tunggu apa lagi sayang
Ku lebih baik darinya
Tak akan ada lagi tangis air mata

 
Buat apa kau buang waktu  
Dalam kisah yang semu
Izinkanlah kucumbu hatimu
Dan merangkai cinta
You might also like 
Tunggu apa lagi, sayang
Tinggalkanlah dirinya
Kan kubuat hari-harimu bahagia
Lalu tunggu apa lagi sayang
Ku lebih baik darinya
Tak akan ada lagi tangis air mata

 
Bukakanlah pintu hatimu, dara
Izinkanlah kuketuk asmara
Kan kuubah sedihmu jadi bahagia

 
Tunggu apa lagi, sayang
Tinggalkanlah dirinya
Kan kubuat hari-harimu penuh bahagia
Lalu tunggu apa lagi sayang
Ku lebih baik darinya
Tak akan ada lagi tangis air mata

 
 
Tak akan ada lagi tangis air mata
 
Hari-harimu bahagia
 
 
Kan ku buat harimu bahagia",1
Terlukis Indah,Rizky Febian,"Semenjak pertama ku jumpa dengannya
Ada rasa yang berbeda
Kutatap wajahmu tanpa ragu-ragu
Ku mulai tersipu, oh
Oh, inilah
Cinta pertama bagi diri ini, wu-wu-uh
Takkan ada yang bisa mengganti
Semua rasa ini padamu
Ku mulai merasakan rasa cinta
Cinta yang tumbuh di setiap saat
Kulukis sebuah kisah yang nyata
Agar semua tak berakhir
Kini kita bersama dan mulai semuanya
Dan yakinkan hati kita berdua
Oh, inilah
Cinta pertama bagi diri ini, wu-uh-uh
Takkan ada yang bisa mengganti
Semua rasa ini padamu
Ku mulai merasakan rasa cinta
Cinta yang tumbuh di setiap saat
Kulukis sebuah kisah yang nyata
Agar semua tak berakhir
Ku mulai merasakan rasa cinta
Cinta yang tumbuh di setiap saat
Kulukis semua kisah yang nyata
Agar semua tak berakhir
Ku yakin kau tahu
Bahwa kau s'galanya
Ku pun merasa
  Berjanjilah pada diriku
  S'lamanya
Rasa cinta
Cinta yang tumbuh di setiap saat
Kulukis sebuah kisah yang nyata
Agar semua tak berakhir
Semua kisah terlukis indah
Kau dan aku akan s'lalu menyatu
Dan yakinkan hati kita berdua
Semua kisah terlukis indah
Kau dan aku akan s'lalu menyatu
Dan yakinkan hati kita berduaYou might also like",1
Kasmaran,Jaz," 
Aku di sini padamu
Sekali lagi padamu
Kubawakan rindu
Yang kau pesan utuh

Aku di sini untukmu
Sekali lagi untukmu
Percayalah tak perlu lagi
Kau gundah

 
Pun aku merasakan getaranmu
Mencintaiku seperti ku mencintaimu
Sungguh kasmaran aku kepadamu

 
Hidup adalah tentangmu
Selalu saja tentangmu
Sepertinya kau adalah candu bagiku

Kau buat aku tak mampu
Selalu saja tak mampu
Menahan perasaanku atas dirimu

 
Pun aku merasakan getaranmu
Mencintaiku seperti ku mencintaimu
Sungguh kasmaran aku kepadamu
You might also likePun aku merasakan getaranmu
Mencintaiku seperti ku mencintaimu
Sungguh kasmaran aku kepadamu  

 
Kepadamu

 
Pun aku merasakan getaranmu
Mencintaiku seperti ku mencintaimu
Sungguh kasmaran aku kepadamu

Pun aku merasakan getaranmu
Mencintaiku seperti ku mencintaimu
Sungguh kasmaran aku kepadamu

  sungguh kasmaran aku
  kasmaran aku
  kepadamu

 
Kasmaran ku kepadamu",1
Menghujam Jantungku,Tompi," 

 
Segenap hatiku selalu memujamu
Seluruh jiwa kupersembahkan untukmu
Sepenuh cintaku merindukan dirimu
Seutuh gejolak membakar hatiku

 
Seperti cahaya hadirmu di duniaku
Seperti ribuan bintang yang menghujam jantungku

 
Kau membuatku merasakan
Indahnya jatuh cinta
Indahnya dicintai
Saat kau jadi milikku
Oh, takkan kulepaskan
Dirimu oh, cintaku
Teruslah kau bersemi
Di dalam lubuk hatiku

 

 
Seperti cahaya hadirmu di duniaku
Seperti ribuan bintang yang menghujam jantungku
You might also like 
Kau membuatku merasakan
Indahnya jatuh cinta
Indahnya dicintai
Saat kau jadi milikku
Oh, takkan kulepaskan
Dirimu oh, cintaku
Teruslah kau bersemi
Di dalam lubuk hatiku
Kau membuatku merasa
Indahnya jatuh cinta
Indahnya dicintai
Saat kau jadi milikku
Oh, takkan kulepaskan
Dirimu oh, cintaku
Teruslah kau bersemi
Di dalam lubuk hatiku

 
Kau membuatku merasa
Indahnya jatuh cinta
Indahnya dicintai
Saat kau jadi milikku
Saat kau jadi milikku",1
Inikah Cinta,Soundwave," 
Saat kujumpa dirinya
Di suatu suasana
Terasa getaran dalam dada
Kucoba mendekatinya
Kutatap dirinya
Oh dia sungguh mempesona
Ingin daku menyapanya
Menyapa dirinya
Bercanda tawa dengan dirinya
Namun apa yang kurasa
Aku tak kuasa
Aku tak tahu harus berkata apa

 
Inikah namanya cinta
Oh inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh inikah cinta
Terasa bahagia saat jumpa
Dengan dirinya

 
Kujumpa dia berikutnya
Suasana berbeda
Getaran itu masih ada
Aku dekati dirinya
Kutatap wajahnya
Oh dia tetap mempesona
Ingin daku menyapanya
Menyapa dirinya
Bercanda tawa dengan dirinya
Namun apa yang kurasa
Aku tak kuasa
Aku tak tahu harus berkata apa
You might also like 
Inikah namanya cinta
Oh inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh inikah cinta
Terasa bahagia saat jumpa
Inikah namanya cinta
Oh inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh inikah cinta
Terasa bahagia saat jumpa
Dengan dirinya

 
Rindu terasa
Di kala diri ini ingin jumpa
Ingin selalu bersama
Bersama dalam segala suasana

 
Inikah namanya cinta
Oh inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh inikah cinta
Terasa bahagia saat jumpa
Inikah namanya cinta
Oh inikah cinta
Cinta pada jumpa pertama
Inikah rasanya cinta
Oh inikah cinta
Terasa bahagia saat jumpa
Dengan dirinya
 
Inikah cinta
Saat pertama
Inikah cinta
Saat pertama
Inikah cinta
Saat pertama
Inikah cinta
Saat pertama",1
Lagu Hari Ini,GAC (Gamaliél Audrey Cantika)," 
Paparapapa
Pa pa para pa
Paparap papa
Pa pa ra pa pa

Paparapapa
Pa pa para pa
Paparap papa
Pa pa ra pa pa

 
Takkan pernah mungkin waktu kan kembali
Takkan pernah lagi akan kusesali
Entah apa yang kan kuhadapi
Semua kulalui
Takkan pernah berhenti

Aku tak hiraukan sedih
Aku kembali menjalani
Matahari datangkan pagi
Entah apa yang 'kan ku hadapi
Semua kunikmati

 
Semangat kuberi dengan lagu ini
Nadaku melayang-layang menemani
Dengarkan melodi, lagu hari ini
Nadaku melayang-layang, terbang tinggi
You might also like 
Paparapapa
Pa pa para pa
Paparap papa
Pa pa ra pa pa

Paparapapa
Pa pa para pa
Paparap papa
Pa pa ra pa pa

 
S'lalu penuh misteri kehidupan ini
S'lalu banyak emosi coba menghalangi
Namun detik takkan menanti
Entah apa yang kan kuhadapi
Semua kulalui
Entah apa yang kan ku hadapi
Semua kunikmati

 
Semangat kuberi dengan lagu ini
Nadaku melayang-layang menemani
Dengarkan melodi, lagu hari ini
Nadaku melayang-layang, terbang tinggi
 
Paparapapa
Pa pa para pa
Paparap papa
Pa pa ra pa pa

Paparapapa
Pa pa para pa
Paparap papa
Pa pa ra pa pa

 
People will tell you to leave
People will tell you to never believe
The past tryna get you
They will always tryna catch you
Tryna break you
So don't leave it, baby
Don't you worry 'bout a thing
It makes you crazy
Biarkan yang lalu pergi
Mari jalani hari yang baru
Jangan hilang semangatku


 
Semangat kuberi dengan lagu ini
Nadaku melayang-layang menemani
Dengarkan melodi, lagu hari ini
Nadaku melayang-layang, terbang tinggi
 
Paparapapa
Pa pa para pa
Paparap papa
Pa pa ra pa pa

Paparapapa
Pa pa para pa
Paparap papa
Pa pa ra pa pa",1
